id,anomalous_image_index
0,1
1,3
2,12
3,7
4,2
5,2
6,2
7,13
8,14
9,5
10,11
11,7
12,2
13,2
14,3
15,4
16,13
17,13
18,8
19,0
20,4
21,12
22,11
23,11
24,5
25,3
26,2
27,8
28,2
29,1
30,9
31,0
32,14
33,3
34,15
35,12
36,13
37,10
38,15
39,15
40,4
41,7
42,13
43,12
44,11
45,3
46,10
47,0
48,2
49,3
50,15
51,3
52,10
53,7
54,6
55,12
56,8
57,13
58,3
59,2
60,8
61,6
62,8
63,10
64,11
65,0
66,9
67,7
68,12
69,6
70,10
71,14
72,1
73,9
74,6
75,12
76,13
77,13
78,5
79,5
80,11
81,15
82,10
83,9
84,6
85,6
86,12
87,15
88,6
89,0
90,3
91,2
92,3
93,3
94,7
95,3
96,0
97,5
98,15
99,9
100,12
101,13
102,5
103,15
104,8
105,15
106,5
107,10
108,7
109,9
110,0
111,14
112,1
113,6
114,12
115,0
116,5
117,4
118,11
119,13
120,7
121,12
122,13
123,6
124,8
125,3
126,4
127,1
128,12
129,6
130,8
131,12
132,8
133,0
134,8
135,5
136,8
137,1
138,4
139,5
140,12
141,4
142,3
143,3
144,9
145,9
146,2
147,0
148,1
149,1
150,12
151,4
152,1
153,15
154,11
155,1
156,13
157,12
158,4
159,10
160,4
161,3
162,0
163,4
164,11
165,10
166,2
167,8
168,5
169,2
170,10
171,5
172,7
173,13
174,8
175,7
176,11
177,10
178,9
179,8
180,9
181,12
182,2
183,8
184,4
185,9
186,13
187,14
188,6
189,13
190,14
191,8
192,14
193,8
194,10
195,12
196,1
197,1
198,2
199,4
200,8
201,10
202,5
203,6
204,0
205,5
206,8
207,8
208,12
209,9
210,13
211,4
212,2
213,6
214,1
215,5
216,3
217,3
218,9
219,3
220,0
221,5
222,0
223,9
224,7
225,5
226,14
227,8
228,12
229,11
230,12
231,2
232,13
233,3
234,4
235,2
236,11
237,14
238,12
239,1
240,5
241,13
242,0
243,7
244,0
245,12
246,15
247,5
248,4
249,9
250,10
251,6
252,4
253,11
254,1
255,1
256,1
257,13
258,1
259,8
260,13
261,9
262,2
263,8
264,15
265,4
266,3
267,3
268,12
269,12
270,5
271,3
272,4
273,11
274,11
275,3
276,4
277,11
278,0
279,5
280,7
281,2
282,0
283,3
284,0
285,4
286,2
287,11
288,3
289,11
290,11
291,12
292,13
293,3
294,4
295,1
296,6
297,12
298,11
299,1
300,3
301,3
302,2
303,4
304,0
305,3
306,8
307,12
308,8
309,10
310,14
311,9
312,1
313,1
314,11
315,8
316,3
317,10
318,13
319,5
320,8
321,13
322,14
323,10
324,15
325,13
326,15
327,5
328,1
329,8
330,11
331,15
332,8
333,13
334,15
335,5
336,14
337,10
338,5
339,2
340,8
341,8
342,4
343,11
344,10
345,0
346,7
347,4
348,7
349,7
350,10
351,10
352,9
353,1
354,8
355,9
356,2
357,15
358,3
359,3
360,10
361,10
362,6
363,0
364,1
365,9
366,12
367,9
368,5
369,12
370,0
371,9
372,6
373,2
374,11
375,7
376,13
377,13
378,11
379,9
380,1
381,12
382,4
383,4
384,10
385,0
386,3
387,7
388,4
389,15
390,6
391,10
392,3
393,2
394,11
395,8
396,3
397,5
398,10
399,8
400,14
401,2
402,0
403,15
404,14
405,15
406,13
407,3
408,15
409,3
410,5
411,8
412,5
413,10
414,13
415,0
416,5
417,1
418,11
419,1
420,5
421,0
422,5
423,15
424,3
425,11
426,8
427,12
428,13
429,14
430,13
431,9
432,8
433,15
434,2
435,1
436,9
437,7
438,8
439,15
440,6
441,15
442,12
443,13
444,6
445,6
446,1
447,6
448,12
449,15
450,4
451,14
452,11
453,0
454,1
455,1
456,2
457,4
458,11
459,1
460,5
461,4
462,5
463,11
464,12
465,15
466,0
467,9
468,11
469,12
470,0
471,3
472,0
473,0
474,10
475,5
476,7
477,12
478,3
479,8
480,13
481,9
482,9
483,3
484,15
485,4
486,14
487,3
488,14
489,1
490,7
491,8
492,12
493,9
494,5
495,4
496,10
497,5
498,10
499,15
500,10
501,11
502,15
503,4
504,1
505,12
506,0
507,2
508,14
509,2
510,3
511,10
512,5
513,3
514,9
515,2
516,2
517,1
518,11
519,9
520,11
521,11
522,3
523,0
524,5
525,12
526,14
527,2
528,15
529,4
530,4
531,6
532,9
533,0
534,7
535,9
536,10
537,3
538,8
539,13
540,8
541,12
542,3
543,2
544,8
545,13
546,4
547,11
548,10
549,15
550,0
551,8
552,9
553,3
554,9
555,1
556,0
557,11
558,1
559,3
560,10
561,12
562,11
563,0
564,4
565,8
566,15
567,12
568,4
569,7
570,12
571,5
572,5
573,14
574,14
575,10
576,1
577,5
578,13
579,11
580,10
581,7
582,5
583,12
584,0
585,1
586,5
587,6
588,7
589,0
590,11
591,1
592,13
593,12
594,12
595,10
596,4
597,1
598,5
599,13
600,2
601,15
602,12
603,6
604,3
605,9
606,8
607,15
608,8
609,9
610,10
611,13
612,7
613,3
614,13
615,2
616,12
617,6
618,3
619,13
620,3
621,3
622,0
623,10
624,10
625,6
626,6
627,14
628,8
629,11
630,6
631,8
632,1
633,11
634,7
635,13
636,11
637,4
638,10
639,14
640,11
641,12
642,3
643,13
644,0
645,3
646,4
647,3
648,3
649,15
650,13
651,2
652,11
653,4
654,0
655,15
656,8
657,1
658,5
659,11
660,6
661,10
662,3
663,3
664,9
665,2
666,14
667,4
668,15
669,14
670,8
671,6
672,7
673,2
674,4
675,6
676,8
677,1
678,14
679,6
680,9
681,14
682,15
683,13
684,8
685,5
686,5
687,5
688,9
689,0
690,13
691,7
692,7
693,7
694,11
695,4
696,0
697,1
698,2
699,9
700,9
701,10
702,4
703,6
704,6
705,15
706,3
707,11
708,0
709,6
710,15
711,12
712,1
713,13
714,2
715,0
716,13
717,15
718,11
719,1
720,10
721,12
722,12
723,6
724,2
725,6
726,3
727,14
728,3
729,4
730,1
731,4
732,10
733,0
734,14
735,13
736,5
737,14
738,7
739,12
740,8
741,15
742,4
743,14
744,15
745,14
746,1
747,13
748,0
749,14
750,5
751,4
752,11
753,13
754,1
755,4
756,10
757,11
758,1
759,5
760,11
761,1
762,11
763,11
764,8
765,3
766,11
767,0
768,3
769,3
770,4
771,3
772,14
773,5
774,15
775,9
776,12
777,2
778,4
779,3
780,14
781,6
782,12
783,14
784,9
785,6
786,12
787,13
788,0
789,12
790,5
791,7
792,3
793,11
794,1
795,2
796,12
797,10
798,14
799,8
800,1
801,14
802,12
803,3
804,11
805,15
806,7
807,4
808,2
809,12
810,5
811,5
812,15
813,13
814,1
815,14
816,5
817,11
818,3
819,11
820,3
821,15
822,12
823,0
824,8
825,10
826,0
827,2
828,7
829,2
830,7
831,1
832,11
833,3
834,8
835,15
836,9
837,4
838,8
839,11
840,8
841,3
842,4
843,12
844,1
845,3
846,7
847,7
848,13
849,3
850,7
851,4
852,10
853,4
854,7
855,12
856,5
857,12
858,5
859,10
860,3
861,4
862,5
863,5
864,8
865,1
866,6
867,4
868,4
869,0
870,2
871,6
872,2
873,5
874,7
875,0
876,12
877,3
878,4
879,7
880,9
881,10
882,2
883,11
884,2
885,10
886,14
887,4
888,1
889,2
890,14
891,12
892,4
893,0
894,2
895,14
896,15
897,14
898,14
899,8
900,4
901,3
902,8
903,12
904,10
905,9
906,9
907,10
908,13
909,8
910,8
911,3
912,12
913,7
914,5
915,3
916,13
917,7
918,12
919,5
920,15
921,11
922,1
923,12
924,8
925,2
926,13
927,2
928,12
929,3
930,14
931,0
932,10
933,13
934,15
935,12
936,11
937,10
938,3
939,1
940,6
941,6
942,3
943,9
944,15
945,11
946,0
947,7
948,5
949,9
950,5
951,12
952,3
953,10
954,8
955,12
956,12
957,8
958,3
959,1
960,6
961,7
962,0
963,9
964,8
965,11
966,6
967,11
968,12
969,11
970,7
971,1
972,8
973,5
974,3
975,3
976,11
977,15
978,12
979,5
980,15
981,7
982,11
983,0
984,13
985,10
986,1
987,12
988,4
989,14
990,15
991,15
992,1
993,3
994,0
995,7
996,1
997,11
998,8
999,4
1000,7
1001,1
1002,15
1003,8
1004,14
1005,11
1006,11
1007,3
1008,0
1009,13
1010,0
1011,11
1012,5
1013,1
1014,4
1015,8
1016,9
1017,4
1018,1
1019,7
1020,15
1021,12
1022,4
1023,13
1024,4
1025,3
1026,11
1027,0
1028,13
1029,7
1030,6
1031,0
1032,0
1033,0
1034,15
1035,9
1036,3
1037,12
1038,11
1039,12
1040,5
1041,0
1042,12
1043,1
1044,14
1045,15
1046,3
1047,7
1048,1
1049,2
1050,0
1051,0
1052,6
1053,15
1054,14
1055,11
1056,0
1057,8
1058,10
1059,3
1060,12
1061,12
1062,9
1063,0
1064,15
1065,13
1066,0
1067,14
1068,3
1069,5
1070,12
1071,3
1072,5
1073,15
1074,1
1075,12
1076,9
1077,2
1078,1
1079,1
1080,8
1081,11
1082,11
1083,5
1084,11
1085,15
1086,5
1087,12
1088,5
1089,11
1090,1
1091,14
1092,7
1093,0
1094,11
1095,4
1096,2
1097,3
1098,10
1099,5
1100,13
1101,0
1102,13
1103,9
1104,1
1105,13
1106,4
1107,13
1108,15
1109,9
1110,4
1111,5
1112,10
1113,7
1114,14
1115,8
1116,11
1117,0
1118,15
1119,3
1120,13
1121,2
1122,2
1123,14
1124,15
1125,6
1126,12
1127,6
1128,11
1129,5
1130,9
1131,9
1132,0
1133,10
1134,1
1135,3
1136,4
1137,12
1138,10
1139,14
1140,13
1141,2
1142,0
1143,13
1144,10
1145,14
1146,14
1147,3
1148,5
1149,8
1150,15
1151,13
1152,2
1153,7
1154,2
1155,5
1156,7
1157,3
1158,4
1159,15
1160,6
1161,1
1162,1
1163,15
1164,9
1165,1
1166,8
1167,5
1168,15
1169,9
1170,10
1171,11
1172,9
1173,9
1174,3
1175,13
1176,8
1177,13
1178,1
1179,4
1180,5
1181,12
1182,3
1183,1
1184,14
1185,3
1186,3
1187,2
1188,2
1189,11
1190,15
1191,1
1192,12
1193,12
1194,0
1195,7
1196,12
1197,3
1198,9
1199,12
1200,11
1201,1
1202,1
1203,13
1204,4
1205,12
1206,12
1207,4
1208,11
1209,2
1210,10
1211,15
1212,6
1213,0
1214,12
1215,1
1216,10
1217,2
1218,13
1219,1
1220,7
1221,0
1222,7
1223,10
1224,14
1225,0
1226,12
1227,15
1228,11
1229,0
1230,9
1231,7
1232,5
1233,15
1234,11
1235,15
1236,9
1237,0
1238,13
1239,12
1240,11
1241,4
1242,10
1243,8
1244,15
1245,11
1246,15
1247,11
1248,8
1249,15
1250,15
1251,15
1252,14
1253,9
1254,15
1255,4
1256,0
